batch,name,age,ploidy,tn5,digitonin,tween,incubation_time,incubation_agitation,pcr_cycles,buffer,subnuc,mononuc,dinuc,ratio_subSURmono,ratio_subSURdi,ratio_monoSURdi,unimap,filtered_reads,SL4.0ch00,SL4.0ch01,SL4.0ch02,SL4.0ch03,SL4.0ch04,SL4.0ch05,SL4.0ch06,SL4.0ch07,SL4.0ch08,SL4.0ch09,SL4.0ch10,SL4.0ch11,SL4.0ch12,chMt,chPt,TSS_EnrichmentScore,TSS_EnrichmentScore_smallFrags
2,M12S6,9,16,2.5,0.05,0.5,30,1000,10,gif,11200,7130,1330,1.6,8.4,5.4,42.6,37651540,0.17428888425724168,0.08651113925260016,0.047471236743781856,0.06047661559678763,0.06427942801370855,0.06774671730919268,0.04623742583205947,0.06611750176416056,0.06423658419187556,0.07406748327338346,0.07019404583303572,0.05946844013176016,0.06399783949067855,0.022666291707261404,0.03224036660247256,1.56138847300488,2.02462136009018
2,M12S7,9,4,2.5,0,0,30,1000,10,sysmex,5390,4310,1270,1.3,4.2,3.4,40.3,32580606,0.20719237661593345,0.08119006112888497,0.04476175109901164,0.0568119990187042,0.06017682907333264,0.0636904129600415,0.04370219092952055,0.06171928464710108,0.060122382347627644,0.07004015591660133,0.06584220133444668,0.05659741618245864,0.06003439375016118,0.02685771835999382,0.041260826636180685,1.3362917071792,2.03935720545443
2,M12S8,9,4,2.5,0.05,0.5,30,1000,10,sysmex,2800,1980,796,1.4,3.5,2.5,37.4,29390970,0.16131644551347638,0.09147594561571065,0.04391291402166181,0.0600265030464946,0.06584739451598165,0.07293993972189351,0.04489401133205635,0.06859354997936144,0.06570519933945548,0.07673021687620181,0.07398870573060988,0.05948580564071566,0.06630087756262092,0.022984214892702623,0.025798276211057247,1.25372516990332,1.79717113995733
2,M12S9,9,8,2.5,0.05,0.5,30,1000,10,sysmex,8730,5960,1660,1.5,5.3,3.6,37.7,36764744,0.42150047389701534,0.04710394556844565,0.028973853117462377,0.03393982485441463,0.03479071211785323,0.0344445664600466,0.02748211382437892,0.03349169128503002,0.034387608000051514,0.04604309607616075,0.039188121324118766,0.03597775796228824,0.03270018624584162,0.0551469152292394,0.09482913403765295,1.22644902386154,1.64763794568537
3,Lib02,9,2,0.2,0,0,25,500,13,gif,10700,3050,1240,3.5,8.6,2.5,12.1,13663820,0.1899248631326374,0.09198269800200504,0.052604764359221935,0.06023229428667182,0.06250081490704353,0.0678777747426817,0.04582923441862518,0.06759739254306149,0.06810152428881686,0.07263573028510965,0.0682761897940807,0.05631313768846385,0.06586489565379419,0.007964562839437,0.022294123058349657,1.85119120102852,2.00279146417341
3,Lib04,12,32,0.3,0,0,25,500,13,gif,36800,10300,2900,3.6,12.7,3.6,15.6,18583780,0.2204568827785156,0.08696536780772349,0.04701697927102372,0.05532368802250588,0.058841926509288094,0.06276152182201745,0.04204660345484966,0.06465862377021461,0.06299802945792232,0.07239417255614498,0.06376119842471357,0.05337222299621649,0.061587109858003294,0.013193475804866881,0.03462219746599396,1.59636536417715,1.59283934008948
3,Lib05,6,4,0.2,0,0,25,500,14,gif,137000,7140,1230,19.2,111.4,5.8,36.2,26234804,0.2758748539851906,0.07725264611103068,0.04300935393089042,0.049247941112981766,0.052328654878820886,0.054187059483091445,0.038466027198709826,0.05663018062418079,0.05453529428963325,0.06290703724007854,0.057417016737448485,0.047012137082767316,0.054928688001843556,0.02101462980567137,0.05518847951766102,1.37263406026214,1.41050619521229
3,Lib08,6,4,0.2,0.05,0.5,25,500,14,gif,42800,11900,4270,3.6,10,2.8,25.8,26134852,0.18121071012013107,0.09548889331180946,0.053441455304624304,0.0626332212182533,0.06516422758859203,0.06673947467105994,0.047741631511397334,0.06851097349001818,0.06866293456506471,0.07420977617289486,0.06799023557554701,0.05689312029454269,0.06645360631924352,0.011175513864565426,0.013684225992256183,1.31466160541894,1.35274293967409
3,Lib10,9,16,0.2,0,0,25,500,14,gif,53140,4550,790,11.7,67.3,5.8,34.6,30794794,0.21106448005329556,0.09010793303404065,0.050112728424239396,0.0586526524619147,0.06049243482874461,0.06265468448508939,0.04443903015215094,0.0647617662544918,0.06489885719235741,0.0708200182100871,0.06549772244189282,0.05458368748642423,0.06354257757339996,0.015531489801039591,0.022839937600831837,1.27589026671595,1.38385681369061
3,Lib11,9,2,0.2,0,0,25,500,14,gif,22800,3120,810,7.3,28.1,3.9,32.1,22205054,0.34069925519109623,0.06429888627362505,0.035756538903353216,0.04114131271945708,0.04583458516790092,0.047672249467051904,0.032606894285230545,0.04731964190285913,0.04762225074476309,0.05800977800302599,0.0510381479764669,0.03864771934661413,0.047678317322577074,0.02709327016790754,0.07458115252807121,1.23033008911865,1.34267264357799
3,Lib16,9,16,0.2,0,0,20,500,13,gif,19400,4260,1570,4.6,12.4,2.7,30,43256378,0.2132001609349969,0.0858603674234763,0.04815087842824913,0.057518446216146005,0.06028727197754689,0.06301952988999306,0.043974836154539586,0.06464999714612778,0.06336688647433052,0.0685828411954639,0.0642723471297938,0.05344139692282235,0.06283093276621922,0.017678314106397915,0.03316579323389664,1.28022785418155,1.34236907641706
3,Lib17,12,8,0.2,0,0,25,500,13,gif,59000,2210,530,26.7,111.3,4.2,35.7,43830496,0.2743665466913151,0.07664543119607935,0.043657838388989005,0.04898410612395133,0.051997479738682455,0.055323473645086337,0.038657173194083023,0.05635192929968288,0.055068159322957534,0.06394950920706868,0.058121409754365395,0.047431855500057414,0.05409739716770744,0.023104391189323926,0.052243299580650125,1.44728751083499,1.47780888702932
3,Lib18,12,4,0.2,0,0,25,500,13,gif,29000,1350,420,21.5,69,3.2,32.8,30030772,0.5065001620583444,0.03431684122785295,0.017931327550185377,0.021853038555590145,0.024914678282974872,0.025624145837495168,0.017715798178512047,0.02611198687152515,0.026421296198812068,0.03978144887584268,0.03267904474517782,0.026688851808576792,0.026500586784901397,0.049472887659037595,0.12348790536517158,1.30985330894392,1.4687962755523
3,Lib19,9,4,0.2,0,0,20,500,13,gif,22600,6380,1860,3.5,12.2,3.4,24.5,38948444,0.46266932078068757,0.04221216156639775,0.022426880457813315,0.027220762663650776,0.030586774088429705,0.032465157687090206,0.021214211847511634,0.03227926565565837,0.03326992685845217,0.04384483464173355,0.03699908906606298,0.03048401962200151,0.03109289628986634,0.0447001284715022,0.10853457030314195,1.30454731105663,1.34901014878684
3,Lib23,3,4,0.2,0,0,25,500,13,gif,39400,5700,1490,6.9,26.4,3.8,33.9,37411940,0.17367881308444877,0.09564831845880767,0.05513452236934908,0.06335834886843277,0.06565821293093116,0.06899982098223678,0.0490074895514891,0.06903778853942219,0.07029027927697098,0.07586853711392075,0.07015522394839492,0.058053954579396716,0.06685521449793365,0.00486321029976483,0.013390265498500623,1.12220408165279,1.13911511203339
3,Lib24,3,2,0.2,0,0,25,500,13,gif,63800,10700,2950,6,21.6,3.6,29.7,52094088,0.32166893674885916,0.06638442044793048,0.03683584226168469,0.04549222410352055,0.050211187127458756,0.050653737349059834,0.03257687755298465,0.04742165385624315,0.04966825460903317,0.06023977489385743,0.0516408499503407,0.04384983865231405,0.04921323165972889,0.023755141997801574,0.07038802878918293,1.25636285639371,1.28377048440251
